Date and Time:                Thu Jun 11 10:55:24.630 2020	
Software Version:             4.30.30034.0	
Temperature (C):              -35	
Model:                        DV499_BU2	
Data Type:                    Counts	
Acquisition Mode:             Single Scan	
Trigger Mode:                 Internal	
Exposure Time (secs):         3e-05	
Readout Mode:                 Full Vertical Binning	
Horizontal binning:           1	
Extended Dynamic Range:       off	
Horizontally flipped:         false	
Vertical Shift Speed (usecs): 4.25	
Pixel Readout Time (usecs):   30.303	
Serial Number:                5767	
Pre-Amplifier Gain:           1x	
Spurious Noise Filter Mode:   No Filter	
Photon counted:               false	
Data Averaging Filter Mode:   No Filter	
DongWooDM320i:	
Serial Number:                	
Wavelength (nm):              690	
Grating Groove Density (l/mm):1200	
	
	
	
684.15924	488
684.21344	489
684.2677	488
684.3219	486
684.3761	486
684.43036	489
684.48456	484
684.53876	488
684.59296	485
684.64716	485
684.70135	487
684.75555	486
684.80975	486
684.86395	488
684.91809	486
684.97229	487
685.02649	487
685.08063	488
685.13483	488
685.18896	487
685.24316	488
685.2973	486
685.3515	488
685.40564	487
685.45978	488
685.51392	488
685.56805	487
685.62219	486
685.67633	487
685.73047	489
685.78461	488
685.83874	484
685.89288	487
685.94702	487
686.0011	487
686.05524	490
686.10937	488
686.16345	490
686.21759	486
686.27167	489
686.32574	487
686.37988	488
686.43396	489
686.48804	486
686.54211	488
686.59619	489
686.65033	484
686.70441	483
686.75842	485
686.8125	490
686.86658	487
686.92065	486
686.97473	488
687.02875	487
687.08282	486
687.1369	488
687.19092	489
687.24499	488
687.29901	487
687.35303	489
687.4071	491
687.46112	487
687.51514	489
687.56915	487
687.62317	483
687.67718	491
687.7312	490
687.78522	488
687.83923	488
687.89325	488
687.94727	487
688.00122	484
688.05524	487
688.10925	487
688.16321	487
688.21722	487
688.27118	489
688.3252	493
688.37915	489
688.43311	484
688.48706	488
688.54108	488
688.59503	487
688.64899	490
688.70294	486
688.7569	491
688.81085	487
688.86475	488
688.9187	486
688.97266	484
689.02661	484
689.08051	484
689.13446	484
689.18835	491
689.24231	487
689.2962	488
689.35016	486
689.40405	489
689.45795	490
689.51184	486
689.5658	489
689.61969	485
689.67358	485
689.72748	488
689.78137	489
689.8352	487
689.8891	487
689.94299	487
689.99689	489
690.05072	485
690.10461	487
690.15845	486
690.21234	483
690.26617	483
690.32007	488
690.3739	487
690.42773	488
690.48163	488
690.53546	486
690.58929	487
690.64313	490
690.69696	484
690.75079	492
690.80463	486
690.85846	489
690.91223	488
690.96606	492
691.0199	483
691.07367	487
691.1275	489
691.18127	493
691.23511	490
691.28888	491
691.34271	491
691.39648	491
691.45026	487
691.50403	491
691.5578	491
691.61157	490
691.66534	493
691.71912	495
691.77289	496
691.82666	500
691.88043	503
691.9342	516
691.98791	515
692.04169	517
692.0954	524
692.14917	526
692.20288	528
692.25665	549
692.31036	554
692.36407	584
692.41785	652
692.47156	732
692.52527	824
692.57898	878
692.63269	878
692.6864	768
692.74011	683
692.79382	600
692.84753	557
692.90118	535
692.95489	525
693.00861	521
693.06226	512
693.11597	522
693.16962	530
693.22327	524
693.27698	527
693.33063	528
693.38428	543
693.43799	540
693.49164	560
693.54529	552
693.59894	569
693.65259	577
693.70624	617
693.75983	647
693.81348	706
693.86713	811
693.92078	940
693.97437	1083
694.02801	1131
694.0816	1077
694.13525	948
694.18884	806
694.24243	678
694.29608	611
694.34967	596
694.40326	574
694.45685	551
694.51044	538
694.56403	533
694.61761	522
694.6712	518
694.72479	524
694.77838	512
694.83197	503
694.8855	504
694.93909	500
694.99261	504
695.0462	493
695.09973	498
695.15332	504
695.20685	494
695.26038	499
695.31396	498
695.36749	492
695.42102	495
695.47455	488
695.52808	491
695.5816	493
695.63513	490
695.6886	492
695.74213	495
695.79565	492
695.84918	492
695.90265	494
695.95618	487
696.00964	487
696.06317	493
696.11664	493
696.1701	492
696.22363	488
696.2771	491
696.33057	490
696.38403	487
696.4375	490
696.49097	489
696.54443	489
696.5979	488
696.65137	492
696.70477	491
696.75824	490
696.81171	491
696.86511	492
696.91858	489
696.97198	492
697.02545	492
697.07886	488
697.13226	489
697.18573	487
697.23914	493
697.29254	489
697.34595	489
697.39935	492
697.45276	486
697.50616	492
697.55957	491
697.61291	491
697.66632	487
697.71973	487
697.77307	485
697.82648	489
697.87988	489
697.93323	493
697.98657	490
698.03998	489
698.09332	490
698.14667	484
698.20001	490
698.25336	487
698.3067	490
698.36005	486
698.41339	488
698.46674	489
698.52008	487
698.57343	487
698.62671	486
698.68005	487
698.7334	488
698.78668	485
698.84003	494
698.89331	487
698.94659	487
698.99994	487
699.05322	483
699.10651	488
699.15979	488
699.21307	489
699.26636	492
699.31964	488
699.37292	487
699.42621	487
699.47949	487
699.53271	485
699.586	486
699.63928	488
699.6925	483
699.74579	487
699.79901	485
699.85229	488
699.90552	486
699.95874	487
700.01196	482
700.06525	492
700.11847	484
700.17169	486
700.22491	488
700.27808	485
700.3313	488
700.38452	487
700.43774	489
700.49097	488
700.54413	488
700.59735	488
700.65051	486
700.70374	490
700.7569	486
700.81006	490
700.86328	489
700.91644	486
700.9696	493
701.02277	489
701.07593	486
701.12909	485
701.18225	489
701.23541	490
701.28857	485
701.34167	490
701.39484	485
701.448	489
701.5011	489
701.55426	490
701.60736	490
701.66052	489
701.71362	489
701.76672	488
701.81989	489
701.87299	486
701.92609	489
701.97919	484
702.03229	490
702.08539	486
702.13849	491
702.19159	486
702.24463	488
702.29773	487
702.35083	487
702.40387	488
702.45697	485
702.51001	489
702.56311	487
702.61615	485
702.66919	488
702.72223	488
702.77533	486
702.82837	491
702.88141	489
702.93445	490
702.98749	488
703.04053	490
703.09351	487
703.14655	492
703.19958	490
703.25256	489
703.3056	492
703.35864	490
703.41162	490
703.4646	491
703.51764	494
703.57062	492
703.6236	490
703.67657	492
703.72961	491
703.78259	495
703.83557	493
703.88855	494
703.94147	492
703.99445	493
704.04742	492
704.1004	491
704.15332	494
704.2063	491
704.25922	493
704.31219	491
704.36511	491
704.41809	494
704.47101	491
704.52393	492
704.57684	490
704.62976	492
704.68268	490
704.7356	495
704.78851	492
704.84143	493
704.89435	496
704.94727	495
705.00012	489
705.05304	492
705.10596	491
705.15881	494
705.21173	492
705.26459	491
705.31744	490
705.37036	495
705.42322	494
705.47607	492
705.52893	495
705.58179	498
705.63464	497
705.6875	496
705.74036	491
705.79321	494
705.84601	495
705.89886	493
705.95172	492
706.00452	496
706.05737	499
706.11017	492
706.16296	494
706.21582	495
706.26862	492
706.32141	494
706.37421	493
706.427	501
706.4798	496
706.53259	500
706.58539	490
706.63818	495
706.69098	495
706.74377	492
706.79651	497
706.8493	495
706.90204	498
706.95483	495
707.00757	495
707.06036	493
707.1131	498
707.16583	496
707.21857	496
707.2713	497
707.32404	492
707.37677	493
707.4295	490
707.48224	493
707.53497	501
707.58771	498
707.64044	499
707.69312	496
707.74585	493
707.79852	500
707.85126	496
707.90393	499
707.9566	497
708.00934	500
708.06201	495
708.11468	497
708.16736	495
708.22003	495
708.2727	495
708.32538	494
708.37805	498
708.43072	496
708.48334	490
708.53601	492
708.58868	494
708.6413	493
708.69397	496
708.74658	493
708.79919	494
708.85187	492
708.90448	493
708.95709	493
709.0097	494
709.06232	491
709.11493	493
709.16754	488
709.22015	489
709.27277	493
709.32538	494
709.37793	492
709.43054	494
709.48315	498
709.53571	492
709.58832	492
709.64087	490
709.69342	492
709.74597	489
709.79858	489
709.85114	492
709.90369	496
709.95624	492
710.00879	489
710.06134	488
710.11389	494
710.16638	492
710.21893	486
710.27148	495
710.32397	489
710.37653	490
710.42902	495
710.48157	491
710.53406	490
710.58655	487
710.6391	490
710.69159	491
710.74408	488
710.79657	495
710.84906	496
710.90155	492
710.95404	489
711.00647	492
711.05896	491
711.11145	492
711.16388	492
711.21637	494
711.26886	489
711.32129	493
711.37372	498
711.42621	492
711.47864	493
711.53107	494
711.5835	496
711.63593	493
711.68835	492
711.74078	492
711.79321	492
711.84564	496
711.89807	496
711.95044	493
712.00287	494
712.05524	494
712.10767	491
712.16003	498
712.21246	496
712.26483	497
712.3172	494
712.36957	493
712.422	497
712.47437	496
712.52673	496
712.5791	494
712.63141	494
712.68378	498
712.73614	495
712.78851	498
712.84082	500
712.89319	499
712.9455	501
712.99786	494
713.05017	499
713.10254	497
713.15485	502
713.20715	501
713.25946	498
713.31177	496
713.36407	497
713.41638	499
713.46869	499
713.521	500
713.5733	500
713.62555	509
713.67786	507
713.73016	502
713.78241	500
713.83472	498
713.88696	497
713.93921	502
713.99152	497
714.04376	502
714.09601	502
714.14825	494
714.2005	502
714.25275	497
714.30499	502
714.35724	496
714.40942	503
714.46167	503
714.51392	498
714.5661	499
714.61835	497
714.67053	499
714.72278	506
714.77496	501
714.82715	494
714.87933	497
714.93158	500
714.98376	500
715.03595	501
715.08813	497
715.14032	512
715.19244	508
715.24463	500
715.29681	503
715.34894	504
715.40112	499
715.45331	497
715.50543	504
715.55756	503
715.60974	501
715.66187	503
715.71399	497
715.76611	498
715.81824	500
715.87036	497
715.92249	493
715.97461	500
716.02673	499
716.07886	499
716.13092	494
716.18304	495
716.23517	494
716.28723	498
716.33929	494
716.39142	496
716.44348	497
716.49554	490
716.54767	493
716.59973	499
716.65179	496
716.70386	492
716.75592	491
716.80798	493
716.85999	491
716.91205	491
716.96411	493
717.01611	484
